timestamp,cpu_utility_pct,memory_in_use_pct,disk_active_time_pct,virtual_memory_pct,process_count,disk_queue_length
2026-04-13T10:40:13.939Z,8.70,87.31,0.00,18.53,351,0.00
2026-04-13T10:40:15.948Z,23.54,87.48,0.00,18.53,351,0.00
2026-04-13T10:40:17.949Z,17.36,86.95,0.00,18.53,350,0.00
2026-04-13T10:40:19.952Z,24.47,87.01,0.00,18.53,350,0.00
2026-04-13T10:40:21.957Z,25.02,86.97,0.00,18.53,350,0.00
2026-04-13T10:40:23.963Z,23.38,86.84,0.00,18.53,350,0.00
2026-04-13T10:40:25.967Z,22.93,87.00,0.00,18.53,349,0.00
2026-04-13T10:40:27.972Z,20.49,86.97,0.00,18.53,350,0.00
2026-04-13T10:40:29.977Z,20.15,87.00,0.00,18.53,350,0.00
2026-04-13T10:40:31.983Z,23.12,86.82,0.00,18.53,350,0.00
2026-04-13T10:40:33.987Z,22.40,87.05,0.00,18.53,352,0.00
2026-04-13T10:40:35.992Z,47.41,87.09,0.00,18.38,350,0.00
2026-04-13T10:40:38.004Z,29.00,87.50,0.00,18.38,351,0.00
2026-04-13T10:40:40.009Z,44.99,89.52,0.00,18.44,354,0.00
2026-04-13T10:40:42.017Z,58.29,86.94,0.00,24.61,354,0.00
2026-04-13T10:40:44.019Z,33.15,86.65,0.00,24.60,355,0.00
2026-04-13T10:40:46.024Z,42.85,87.40,0.00,24.58,357,0.00
2026-04-13T10:40:54.043Z,19.00,88.57,0.00,23.95,354,0.00
2026-04-13T10:40:56.048Z,24.11,88.30,0.00,23.95,354,0.00
2026-04-13T10:40:58.053Z,28.24,87.09,0.00,24.35,352,0.00
2026-04-13T10:41:00.060Z,25.30,87.10,0.00,24.35,352,0.00
2026-04-13T10:41:02.063Z,30.41,87.03,0.00,24.35,352,0.00
2026-04-13T10:41:04.071Z,22.38,86.95,0.00,24.35,352,0.00
2026-04-13T10:41:06.072Z,21.40,86.85,0.00,24.35,352,0.00
2026-04-13T10:41:08.077Z,26.05,86.71,0.00,24.35,352,0.00
2026-04-13T10:41:10.085Z,26.90,86.75,0.00,24.35,353,0.00
2026-04-13T10:41:12.086Z,26.24,87.62,0.00,24.30,353,0.00
2026-04-13T10:41:14.100Z,27.50,87.57,0.00,24.30,352,0.00
2026-04-13T10:41:16.105Z,29.72,87.02,0.00,24.21,352,0.00
2026-04-13T10:41:18.108Z,29.82,87.23,0.00,24.21,353,0.00
2026-04-13T10:41:20.114Z,53.05,87.41,0.00,24.21,352,0.00
2026-04-13T10:41:22.119Z,33.53,87.26,0.00,24.21,352,0.00
2026-04-13T10:41:24.124Z,26.59,87.21,0.00,24.21,352,0.00
2026-04-13T10:41:26.129Z,22.42,87.14,0.00,24.21,352,0.00
2026-04-13T10:41:28.133Z,29.62,87.29,0.00,24.21,352,0.00
2026-04-13T10:41:30.139Z,27.66,87.18,0.00,24.21,352,0.00
2026-04-13T10:41:32.143Z,17.92,87.17,0.00,24.21,351,0.00
2026-04-13T10:41:34.149Z,22.00,87.19,0.00,24.19,349,0.00
2026-04-13T10:41:36.150Z,23.32,87.15,0.00,24.19,349,0.00
2026-04-13T10:41:38.151Z,31.26,87.18,0.00,24.19,349,0.00
2026-04-13T10:41:40.154Z,25.68,87.22,0.00,24.19,349,0.00
2026-04-13T10:41:42.159Z,25.12,87.19,0.00,24.19,349,0.00
2026-04-13T10:41:44.164Z,29.05,87.37,0.00,24.19,349,0.00
2026-04-13T10:41:46.176Z,23.73,87.12,0.00,24.19,349,0.00
2026-04-13T10:41:48.182Z,21.26,87.01,0.00,24.19,349,0.00
2026-04-13T10:41:50.187Z,26.46,87.04,0.00,24.19,349,0.00
2026-04-13T10:41:52.191Z,24.90,86.97,0.00,24.19,349,0.00
2026-04-13T10:41:54.199Z,21.04,87.04,0.00,24.19,349,0.00
2026-04-13T10:41:56.202Z,22.05,87.04,0.00,24.19,349,0.00
2026-04-13T10:41:58.202Z,21.98,87.04,0.00,24.19,349,0.00
2026-04-13T10:42:00.203Z,21.30,87.09,0.00,24.19,349,0.00
2026-04-13T10:42:02.207Z,17.50,87.11,0.00,24.19,349,0.00
2026-04-13T10:42:04.212Z,16.50,87.12,0.00,24.19,349,0.00
2026-04-13T10:42:06.217Z,16.46,87.15,0.00,24.19,349,0.00
2026-04-13T10:42:08.226Z,19.08,87.13,0.00,24.14,349,0.00
2026-04-13T10:42:10.237Z,26.67,86.34,0.00,24.14,349,0.00
2026-04-13T10:42:12.240Z,18.49,86.44,0.00,24.14,349,0.00
2026-04-13T10:42:14.252Z,17.29,86.47,0.00,24.14,349,0.00
2026-04-13T10:42:16.258Z,20.41,86.45,0.00,24.14,349,0.00
2026-04-13T10:42:18.263Z,24.89,86.46,0.00,24.14,349,0.00
2026-04-13T10:42:20.267Z,20.46,86.40,0.00,24.14,349,0.00
